year,week_num,property_type,country,city,capacity,pets_allowed,property_id,booked_through,booking_id
2020,25,apartment,FRANCE,Paris,6,yes,206,Direct,B-107
2019,13,apartment,BELGIUM,Brussels,4,no,53,3rd Party,B-108
2019,26,condo,FRANCE,Lyon,5,yes,13,3rd Party,B-109
2019,26,apartment,FRANCE,Paris,8,no,9,3rd Party,B-110
2020,25,condo,ITALY,Rome,4,yes,203,3rd Party,B-111
2019,26,apartment,ITALY,Naples,6,yes,8,3rd Party,B-112
2020,25,apartment,SPAIN,Barcelona,9,yes,198,3rd Party,B-113
2020,25,apartment,BELGIUM,Brussels,7,yes,197,Direct,B-114
2019,26,apartment,BELGIUM,Brussels,6,yes,7,3rd Party,B-115
2020,25,condo,SPAIN,Madrid,4,yes,194,3rd Party,B-116
2020,25,condo,ITALY,Rome,4,no,193,3rd Party,B-117
2020,25,apartment,ITALY,Rome,7,yes,191,Direct,B-118
2020,25,house,ITALY,Rome,7,yes,189,Direct,B-119
2019,26,house,BELGIUM,Brussels,5,no,6,3rd Party,B-120
2020,25,house,SPAIN,Barcelona,4,yes,186,3rd Party,B-121
2020,25,apartment,FRANCE,Paris,5,yes,185,Direct,B-122
2020,25,apartment,ITALY,Rome,7,yes,184,Direct,B-123
2020,25,condo,SPAIN,Madrid,7,yes,183,3rd Party,B-124
2020,25,house,ITALY,Rome,7,yes,180,Direct,B-125
2020,25,apartment,SPAIN,Barcelona,9,yes,179,Direct,B-126
2020,25,house,BELGIUM,Brussels,7,yes,178,Direct,B-127
2019,13,apartment,ITALY,Rome,5,yes,74,3rd Party,B-128
2020,25,condo,FRANCE,Nice,8,no,176,3rd Party,B-129
2020,25,condo,SPAIN,Madrid,6,no,175,3rd Party,B-130
2020,25,condo,BELGIUM,Brussels,5,yes,319,3rd Party,B-131
2020,25,condo,SPAIN,Barcelona,4,no,320,3rd Party,B-132
2020,25,condo,FRANCE,Lyon,8,no,321,3rd Party,B-133
2020,25,apartment,SPAIN,Madrid,5,yes,490,3rd Party,B-134
2019,26,house,ITALY,Rome,7,yes,180,Direct,B-135
2020,25,house,ITALY,Rome,4,no,486,3rd Party,B-136
2019,26,apartment,SPAIN,Barcelona,9,yes,179,Direct,B-137
2020,25,condo,FRANCE,Paris,8,yes,483,3rd Party,B-138
2020,25,condo,SPAIN,Madrid,7,no,482,3rd Party,B-139
2020,25,apartment,BELGIUM,Brussels,5,yes,480,Direct,B-140
2020,25,condo,ITALY,Naples,8,yes,479,3rd Party,B-141
2019,26,house,BELGIUM,Brussels,7,yes,178,Direct,B-142
2020,25,house,BELGIUM,Brussels,4,no,476,3rd Party,B-143
2020,25,house,FRANCE,Paris,8,yes,475,3rd Party,B-144
2020,25,apartment,SPAIN,Barcelona,9,yes,474,Direct,B-145
2020,25,apartment,FRANCE,Paris,9,yes,470,3rd Party,B-146
2020,25,condo,BELGIUM,Brussels,9,no,468,3rd Party,B-147
2019,26,condo,FRANCE,Lyon,5,yes,173,3rd Party,B-148
2019,46,apartment,ITALY,Rome,4,yes,585,3rd Party,B-149
2020,25,condo,BELGIUM,Brussels,9,yes,465,3rd Party,B-150
2020,25,condo,BELGIUM,Brussels,8,no,464,3rd Party,B-151
2020,25,house,SPAIN,Barcelona,6,yes,462,3rd Party,B-152
2019,46,apartment,BELGIUM,Brussels,7,yes,586,3rd Party,B-153
2019,26,condo,BELGIUM,Brussels,5,no,167,3rd Party,B-154
2020,25,house,BELGIUM,Brussels,5,no,458,3rd Party,B-155
2019,12,condo,BELGIUM,Brussels,9,yes,854,3rd Party,B-156
2020,25,house,FRANCE,Paris,6,yes,456,Direct,B-157
2020,25,condo,ITALY,Rome,7,yes,455,3rd Party,B-158
2020,25,apartment,BELGIUM,Brussels,8,yes,454,Direct,B-159
2019,12,condo,BELGIUM,Brussels,9,yes,859,3rd Party,B-160
2019,46,apartment,BELGIUM,Brussels,7,no,594,3rd Party,B-161
2019,26,apartment,BELGIUM,Brussels,5,yes,157,Direct,B-162
2019,12,condo,ITALY,Rome,5,yes,865,3rd Party,B-163
2019,26,condo,SPAIN,Madrid,7,yes,183,3rd Party,B-164
2020,25,apartment,SPAIN,Madrid,4,no,491,3rd Party,B-165
2020,25,house,ITALY,Rome,9,yes,441,3rd Party,B-166
2020,25,house,SPAIN,Barcelona,6,yes,492,3rd Party,B-167
2020,25,house,SPAIN,Barcelona,8,yes,526,3rd Party,B-168
2020,25,apartment,FRANCE,Paris,6,yes,523,Direct,B-169
2020,25,apartment,BELGIUM,Brussels,7,yes,522,3rd Party,B-170
2020,25,house,SPAIN,Madrid,9,yes,521,3rd Party,B-171
2019,26,condo,ITALY,Rome,4,yes,203,3rd Party,B-172
2019,12,condo,ITALY,Rome,5,yes,796,3rd Party,B-173
2020,25,apartment,BELGIUM,Brussels,6,no,519,3rd Party,B-174
2019,26,condo,FRANCE,Lyon,9,no,202,3rd Party,B-175
2020,25,apartment,SPAIN,Barcelona,5,no,516,3rd Party,B-176
2020,25,apartment,SPAIN,Madrid,9,yes,514,Direct,B-177
2019,26,apartment,SPAIN,Barcelona,9,yes,198,3rd Party,B-178
2019,26,apartment,BELGIUM,Brussels,7,yes,197,Direct,B-179
2020,25,house,SPAIN,Madrid,6,yes,509,3rd Party,B-180
2020,25,apartment,SPAIN,Madrid,6,no,508,3rd Party,B-181
2020,25,apartment,ITALY,Naples,9,yes,507,3rd Party,B-182
2019,26,condo,SPAIN,Madrid,4,yes,194,3rd Party,B-183
2019,12,apartment,BELGIUM,Brussels,9,no,809,3rd Party,B-184
2020,25,house,SPAIN,Barcelona,8,yes,505,3rd Party,B-185
2020,25,apartment,SPAIN,Madrid,8,yes,504,3rd Party,B-186
2019,26,condo,ITALY,Rome,4,no,193,3rd Party,B-187
2019,12,condo,BELGIUM,Brussels,7,no,813,3rd Party,B-188
2019,26,apartment,ITALY,Rome,7,yes,191,3rd Party,B-189
2020,25,apartment,FRANCE,Paris,4,no,500,Direct,B-190
2020,25,apartment,SPAIN,Madrid,7,yes,498,3rd Party,B-191
2019,26,house,ITALY,Rome,7,yes,189,Direct,B-192
2019,26,house,SPAIN,Barcelona,4,yes,186,3rd Party,B-193
2020,25,house,ITALY,Rome,5,yes,495,3rd Party,B-194
2019,26,apartment,FRANCE,Paris,5,yes,185,3rd Party,B-195
2019,26,apartment,ITALY,Rome,7,yes,184,3rd Party,B-196
2020,25,house,SPAIN,Madrid,7,yes,443,3rd Party,B-197
2020,25,apartment,ITALY,Rome,7,yes,438,3rd Party,B-198
2019,26,house,BELGIUM,Brussels,6,no,82,3rd Party,B-199
2019,26,house,FRANCE,Paris,9,no,122,3rd Party,B-200
2020,25,condo,SPAIN,Barcelona,8,yes,376,3rd Party,B-201
2019,26,house,ITALY,Rome,5,yes,120,3rd Party,B-202
2019,26,condo,ITALY,Naples,8,yes,116,3rd Party,B-203
2020,25,apartment,FRANCE,Paris,8,no,364,3rd Party,B-204
2019,12,house,ITALY,Rome,7,yes,923,3rd Party,B-205
2019,26,house,BELGIUM,Brussels,6,yes,102,3rd Party,B-206
2020,25,house,SPAIN,Madrid,9,yes,360,3rd Party,B-207
2020,25,condo,BELGIUM,Brussels,5,yes,358,3rd Party,B-208
2020,25,condo,SPAIN,Madrid,4,no,357,3rd Party,B-209
2019,26,house,SPAIN,Madrid,9,yes,99,3rd Party,B-210
2020,25,apartment,SPAIN,Barcelona,9,yes,354,Direct,B-211
2019,12,apartment,ITALY,Rome,6,yes,932,3rd Party,B-212
2019,26,house,BELGIUM,Brussels,9,yes,97,Direct,B-213
2019,26,apartment,SPAIN,Madrid,7,yes,94,3rd Party,B-214
2019,46,condo,BELGIUM,Brussels,6,yes,811,3rd Party,B-215
2019,26,condo,SPAIN,Barcelona,4,no,91,3rd Party,B-216
2020,25,condo,ITALY,Naples,6,yes,347,3rd Party,B-217
2020,25,apartment,BELGIUM,Brussels,7,yes,344,3rd Party,B-218
2019,26,condo,BELGIUM,Brussels,8,no,87,3rd Party,B-219
2020,25,apartment,ITALY,Milan,4,yes,342,3rd Party,B-220
2020,25,condo,SPAIN,Madrid,4,yes,338,3rd Party,B-221
2019,26,house,FRANCE,Paris,7,yes,85,3rd Party,B-222
2020,25,condo,SPAIN,Madrid,6,no,333,3rd Party,B-223
2020,25,apartment,BELGIUM,Brussels,6,no,332,3rd Party,B-224
2020,25,apartment,FRANCE,Paris,9,yes,331,3rd Party,B-225
2020,25,condo,SPAIN,Barcelona,4,yes,330,3rd Party,B-226
2020,25,apartment,SPAIN,Barcelona,5,yes,325,3rd Party,B-227
2019,26,house,ITALY,Rome,5,yes,84,Direct,B-228
2019,12,condo,ITALY,Rome,5,yes,956,3rd Party,B-229
2020,25,condo,FRANCE,Lyon,8,no,377,3rd Party,B-230
2019,26,apartment,SPAIN,Barcelona,7,yes,124,3rd Party,B-231
2020,25,apartment,SPAIN,Madrid,8,yes,435,3rd Party,B-232
2020,25,condo,SPAIN,Madrid,8,yes,380,3rd Party,B-233
2019,26,condo,FRANCE,Lyon,9,no,150,3rd Party,B-234
2019,46,apartment,ITALY,Rome,6,yes,669,3rd Party,B-235
2020,25,condo,BELGIUM,Brussels,9,yes,433,3rd Party,B-236
2020,25,condo,SPAIN,Barcelona,5,no,429,3rd Party,B-237
2020,25,house,BELGIUM,Brussels,8,no,428,3rd Party,B-238
2019,46,condo,BELGIUM,Brussels,6,no,680,3rd Party,B-239
2020,25,apartment,SPAIN,Madrid,9,no,423,3rd Party,B-240
2020,25,apartment,SPAIN,Madrid,5,yes,420,Direct,B-241
2020,25,house,FRANCE,Paris,6,no,415,3rd Party,B-242
2019,26,apartment,ITALY,Rome,9,yes,143,3rd Party,B-243
2020,25,apartment,FRANCE,Paris,9,yes,413,3rd Party,B-244
2019,46,house,BELGIUM,Brussels,7,yes,684,3rd Party,B-245
2019,46,condo,ITALY,Rome,5,no,685,3rd Party,B-246
2020,25,apartment,BELGIUM,Brussels,9,yes,409,Direct,B-247
2020,25,house,BELGIUM,Brussels,5,yes,408,Direct,B-248
2020,25,apartment,SPAIN,Barcelona,8,yes,404,Direct,B-249
2019,12,apartment,BELGIUM,Brussels,7,no,892,3rd Party,B-250
2020,25,condo,BELGIUM,Brussels,7,yes,399,3rd Party,B-251
2019,46,condo,ITALY,Rome,8,no,702,3rd Party,B-252
2020,25,apartment,SPAIN,Madrid,6,yes,396,3rd Party,B-253
2020,25,apartment,ITALY,Rome,8,yes,395,Direct,B-254
2019,26,apartment,BELGIUM,Brussels,8,yes,130,3rd Party,B-255
2020,25,apartment,SPAIN,Barcelona,8,yes,391,Direct,B-256
2020,25,house,FRANCE,Paris,4,no,390,3rd Party,B-257
2020,25,condo,SPAIN,Barcelona,7,yes,389,3rd Party,B-258
2019,26,apartment,SPAIN,Barcelona,5,no,128,3rd Party,B-259
2020,25,condo,SPAIN,Barcelona,6,yes,383,3rd Party,B-260
2020,25,condo,SPAIN,Madrid,8,yes,382,3rd Party,B-261
2019,46,apartment,ITALY,Rome,6,yes,708,3rd Party,B-262
2020,25,house,BELGIUM,Brussels,9,yes,97,3rd Party,B-263
2019,47,apartment,ITALY,Rome,5,yes,74,3rd Party,B-264
2019,46,condo,ITALY,Rome,9,yes,513,3rd Party,B-265
2019,47,condo,BELGIUM,Brussels,6,no,403,3rd Party,B-266
2020,24,condo,BELGIUM,Brussels,6,yes,811,3rd Party,B-267
2020,24,apartment,BELGIUM,Brussels,9,no,809,3rd Party,B-268
2019,47,condo,BELGIUM,Brussels,9,no,365,3rd Party,B-269
2019,25,condo,FRANCE,Nice,4,yes,815,3rd Party,B-270
2020,24,condo,SPAIN,Madrid,7,no,805,3rd Party,B-271
2019,25,apartment,SPAIN,Madrid,5,no,808,3rd Party,B-272
2020,24,house,FRANCE,Paris,5,yes,801,3rd Party,B-273
2020,24,condo,SPAIN,Barcelona,6,no,799,3rd Party,B-274
2020,24,condo,ITALY,Rome,5,yes,796,3rd Party,B-275
2020,24,condo,SPAIN,Barcelona,4,yes,795,3rd Party,B-276
2020,24,apartment,ITALY,Rome,7,yes,788,Direct,B-277
2020,24,house,SPAIN,Barcelona,8,yes,785,3rd Party,B-278
2020,24,apartment,SPAIN,Barcelona,5,no,783,3rd Party,B-279
2019,25,house,FRANCE,Paris,5,yes,801,Direct,B-280
2020,24,apartment,BELGIUM,Brussels,8,yes,774,3rd Party,B-281
2020,25,apartment,SPAIN,Madrid,7,yes,94,3rd Party,B-282
2020,24,apartment,SPAIN,Barcelona,4,no,773,3rd Party,B-283
2020,24,house,ITALY,Rome,8,yes,772,3rd Party,B-284
2020,24,condo,SPAIN,Madrid,4,no,769,3rd Party,B-285
2020,24,condo,SPAIN,Barcelona,9,no,768,3rd Party,B-286
2020,24,house,SPAIN,Madrid,8,yes,767,3rd Party,B-287
2020,24,condo,BELGIUM,Brussels,6,no,766,3rd Party,B-288
2020,24,apartment,SPAIN,Barcelona,7,yes,765,3rd Party,B-289
2020,24,apartment,ITALY,Rome,6,yes,758,Direct,B-290
2020,24,condo,SPAIN,Madrid,7,no,757,3rd Party,B-291
2020,24,house,FRANCE,Paris,6,yes,755,3rd Party,B-292
2019,25,condo,SPAIN,Barcelona,4,yes,795,3rd Party,B-293
2020,24,house,SPAIN,Barcelona,8,yes,751,3rd Party,B-294
2020,24,apartment,SPAIN,Barcelona,6,yes,750,3rd Party,B-295
2020,24,condo,SPAIN,Barcelona,6,no,748,3rd Party,B-296
2019,25,apartment,FRANCE,Paris,9,yes,819,Direct,B-297
2019,25,condo,ITALY,Naples,4,yes,820,3rd Party,B-298
2020,24,apartment,FRANCE,Paris,9,yes,819,3rd Party,B-299
2019,47,condo,BELGIUM,Brussels,5,yes,358,3rd Party,B-300
2020,24,house,ITALY,Rome,5,no,878,Direct,B-301
2019,25,apartment,BELGIUM,Brussels,5,yes,849,Direct,B-302
2020,24,house,FRANCE,Paris,6,yes,874,3rd Party,B-303
2019,25,house,SPAIN,Barcelona,4,yes,848,3rd Party,B-304
2020,24,condo,FRANCE,Paris,6,yes,871,3rd Party,B-305
2020,24,house,ITALY,Rome,7,no,867,Direct,B-306
2020,24,condo,ITALY,Rome,5,yes,865,3rd Party,B-307
2019,25,condo,FRANCE,Paris,5,yes,844,3rd Party,B-308
2020,24,condo,FRANCE,Nice,7,yes,861,3rd Party,B-309
2019,25,condo,SPAIN,Barcelona,8,no,841,3rd Party,B-310
2020,24,apartment,ITALY,Rome,9,yes,855,3rd Party,B-311
2020,24,house,ITALY,Rome,6,no,852,Direct,B-312
2020,24,apartment,BELGIUM,Brussels,5,yes,849,3rd Party,B-313
2020,24,apartment,SPAIN,Madrid,6,no,847,3rd Party,B-314
2019,47,condo,BELGIUM,Brussels,5,yes,319,3rd Party,B-315
2019,25,apartment,SPAIN,Barcelona,7,yes,836,Direct,B-316
2019,25,apartment,ITALY,Naples,4,yes,835,3rd Party,B-317
2020,24,condo,SPAIN,Madrid,6,yes,837,3rd Party,B-318
2019,13,apartment,BELGIUM,Brussels,6,no,332,3rd Party,B-319
2020,24,apartment,SPAIN,Barcelona,7,yes,836,Direct,B-320
2020,24,apartment,ITALY,Naples,4,yes,835,3rd Party,B-321
2020,24,condo,SPAIN,Madrid,4,no,834,3rd Party,B-322
2019,13,apartment,BELGIUM,Brussels,4,no,337,3rd Party,B-323
2019,25,apartment,BELGIUM,Brussels,7,yes,830,3rd Party,B-324
2019,47,apartment,BELGIUM,Brussels,4,no,337,3rd Party,B-325
2020,24,apartment,BELGIUM,Brussels,7,yes,830,Direct,B-326
2019,25,house,FRANCE,Paris,6,yes,826,3rd Party,B-327
2019,13,condo,ITALY,Rome,5,yes,343,3rd Party,B-328
2020,24,house,FRANCE,Paris,6,yes,826,3rd Party,B-329
2019,25,apartment,ITALY,Milan,4,yes,793,3rd Party,B-330
2019,13,apartment,ITALY,Rome,8,yes,395,3rd Party,B-331
2019,25,condo,SPAIN,Madrid,5,yes,792,3rd Party,B-332
2020,24,apartment,SPAIN,Madrid,6,yes,706,3rd Party,B-333
2020,24,condo,SPAIN,Madrid,6,yes,705,3rd Party,B-334
2020,24,condo,FRANCE,Nice,8,yes,703,3rd Party,B-335
2020,24,condo,ITALY,Rome,8,no,702,3rd Party,B-336
2020,24,condo,SPAIN,Madrid,6,no,700,3rd Party,B-337
2020,24,apartment,SPAIN,Barcelona,9,yes,697,Direct,B-338
2019,25,house,FRANCE,Paris,7,no,759,3rd Party,B-339
2019,25,apartment,ITALY,Rome,6,yes,758,Direct,B-340
2020,24,condo,ITALY,Rome,5,no,694,3rd Party,B-341
2020,24,apartment,SPAIN,Barcelona,7,yes,691,3rd Party,B-342
2020,24,condo,ITALY,Rome,4,no,690,3rd Party,B-343
2020,24,house,ITALY,Rome,5,no,688,3rd Party,B-344
2020,24,apartment,BELGIUM,Brussels,8,yes,687,3rd Party,B-345
2019,13,apartment,BELGIUM,Brussels,8,yes,454,3rd Party,B-346
2019,25,condo,SPAIN,Madrid,7,no,757,3rd Party,B-347
2020,24,house,BELGIUM,Brussels,7,yes,684,3rd Party,B-348
2020,24,apartment,SPAIN,Barcelona,5,yes,683,Direct,B-349
2019,25,house,FRANCE,Paris,6,yes,755,Direct,B-350
2020,24,condo,BELGIUM,Brussels,6,no,680,3rd Party,B-351
2020,24,apartment,SPAIN,Madrid,5,yes,678,Direct,B-352
2020,24,condo,ITALY,Rome,8,yes,677,3rd Party,B-353
2020,24,apartment,FRANCE,Paris,7,no,676,Direct,B-354
2019,13,condo,ITALY,Rome,9,no,463,3rd Party,B-355
2019,13,condo,BELGIUM,Brussels,8,no,464,3rd Party,B-356
2020,24,apartment,SPAIN,Barcelona,6,yes,675,Direct,B-357
2020,24,apartment,SPAIN,Barcelona,9,yes,674,Direct,B-358
2020,24,apartment,FRANCE,Paris,8,no,673,3rd Party,B-359
2019,25,house,FRANCE,Paris,7,no,753,3rd Party,B-360
2020,24,house,SPAIN,Madrid,8,yes,670,3rd Party,B-361
2020,24,apartment,ITALY,Rome,6,yes,669,3rd Party,B-362
2019,25,condo,ITALY,Milan,6,yes,763,3rd Party,B-363
2019,25,apartment,SPAIN,Barcelona,7,yes,765,Direct,B-364
2020,24,apartment,SPAIN,Madrid,4,yes,744,Direct,B-365
2020,24,apartment,ITALY,Rome,6,yes,708,3rd Party,B-366
2019,25,apartment,ITALY,Rome,7,yes,788,Direct,B-367
2020,24,condo,FRANCE,Lyon,4,no,742,3rd Party,B-368
2020,24,house,SPAIN,Madrid,5,yes,739,3rd Party,B-369
2020,24,apartment,SPAIN,Barcelona,7,no,738,3rd Party,B-370
2019,13,condo,BELGIUM,Brussels,6,no,403,3rd Party,B-371
2020,24,condo,SPAIN,Madrid,6,no,736,3rd Party,B-372
2019,47,condo,BELGIUM,Brussels,9,yes,433,3rd Party,B-373
2020,24,condo,SPAIN,Barcelona,8,yes,735,3rd Party,B-374
2020,24,condo,SPAIN,Madrid,9,yes,733,3rd Party,B-375
2019,25,apartment,SPAIN,Barcelona,5,no,783,3rd Party,B-376
2019,47,apartment,BELGIUM,Brussels,8,yes,454,3rd Party,B-377
2020,24,condo,ITALY,Naples,8,yes,727,3rd Party,B-378
2019,25,condo,ITALY,Milan,9,yes,777,3rd Party,B-379
2019,47,condo,ITALY,Rome,7,yes,455,3rd Party,B-380
2020,24,house,ITALY,Rome,7,no,722,3rd Party,B-381
2020,24,house,SPAIN,Barcelona,4,yes,721,3rd Party,B-382
2019,25,apartment,BELGIUM,Brussels,8,yes,774,3rd Party,B-383
2020,24,house,SPAIN,Barcelona,5,yes,719,3rd Party,B-384
2019,25,apartment,SPAIN,Barcelona,4,no,773,3rd Party,B-385
2019,25,house,ITALY,Rome,8,yes,772,Direct,B-386
2019,13,condo,ITALY,Rome,4,yes,424,3rd Party,B-387
2019,47,condo,BELGIUM,Brussels,8,no,464,3rd Party,B-388
2019,47,condo,ITALY,Rome,6,yes,473,3rd Party,B-389
2019,25,house,SPAIN,Madrid,8,yes,767,3rd Party,B-390
2020,24,condo,SPAIN,Barcelona,7,yes,713,3rd Party,B-391
2020,24,apartment,SPAIN,Barcelona,8,no,712,3rd Party,B-392
2020,24,house,ITALY,Rome,7,no,711,3rd Party,B-393
